benchmark,clf_name,train_roc,train_prn,test_roc,test_prn
abalone_benchmark_0032.csv,CBLOF,0.4889,0.4238,0.4769,0.413
abalone_benchmark_0033.csv,ABOD,0.5586,0.7815,0.5575,0.75
abalone_benchmark_0033.csv,KNN,0.5612,0.7947,0.5653,0.7949
abalone_benchmark_0033.csv,IForest,0.5122,0.5497,0.525,0.6176
abalone_benchmark_0033.csv,HBOS,0.5453,0.7211,0.5626,0.7895
abalone_benchmark_0033.csv,LOF,0.5042,0.5099,0.4941,0.4524
abalone_benchmark_0033.csv,CBLOF,0.5016,0.4967,0.5084,0.5357
abalone_benchmark_0034.csv,ABOD,0.5508,0.7682,0.5628,0.775
abalone_benchmark_0034.csv,KNN,0.5614,0.8212,0.5568,0.7941
abalone_benchmark_0034.csv,IForest,0.5044,0.5364,0.4994,0.4762
abalone_benchmark_0034.csv,HBOS,0.5557,0.8284,0.5432,0.7419
abalone_benchmark_0034.csv,LOF,0.507,0.5497,0.486,0.4146
abalone_benchmark_0034.csv,CBLOF,0.4951,0.4901,0.5015,0.4865
abalone_benchmark_0035.csv,ABOD,0.5567,0.7815,0.5559,0.7619
abalone_benchmark_0035.csv,KNN,0.566,0.8278,0.5638,0.7907
abalone_benchmark_0035.csv,IForest,0.4944,0.4702,0.5139,0.5833
abalone_benchmark_0035.csv,HBOS,0.554,0.7956,0.5401,0.7
abalone_benchmark_0035.csv,LOF,0.5103,0.5497,0.548,0.7317
abalone_benchmark_0035.csv,CBLOF,0.5699,0.8477,0.5768,0.8261
abalone_benchmark_0036.csv,ABOD,0.5575,0.7881,0.5795,0.7959
abalone_benchmark_0036.csv,KNN,0.5668,0.8344,0.5824,0.7778
abalone_benchmark_0036.csv,IForest,0.5019,0.5099,0.529,0.6087
abalone_benchmark_0036.csv,HBOS,0.5389,0.6954,0.569,0.7451
abalone_benchmark_0036.csv,LOF,0.5111,0.5563,0.5314,0.6341
abalone_benchmark_0036.csv,CBLOF,0.5111,0.5563,0.5131,0.5455
abalone_benchmark_0037.csv,ABOD,0.5642,0.8411,0.5702,0.7857
abalone_benchmark_0037.csv,KNN,0.5602,0.8212,0.5671,0.7949
abalone_benchmark_0037.csv,IForest,0.5178,0.6093,0.5274,0.6
abalone_benchmark_0037.csv,HBOS,0.5337,0.6887,0.533,0.619
abalone_benchmark_0037.csv,LOF,0.5125,0.5828,0.5146,0.5349
abalone_benchmark_0037.csv,CBLOF,0.4979,0.5099,0.5196,0.561
abalone_benchmark_0038.csv,ABOD,0.5587,0.7881,0.5274,0.6
abalone_benchmark_0038.csv,KNN,0.5666,0.8278,0.5562,0.7568
abalone_benchmark_0038.csv,IForest,0.5083,0.5364,0.4878,0.4146
abalone_benchmark_0038.csv,HBOS,0.5454,0.7248,0.548,0.7222
abalone_benchmark_0038.csv,LOF,0.5123,0.5563,0.4999,0.4706
abalone_benchmark_0038.csv,CBLOF,0.5017,0.5033,0.4799,0.381
abalone_benchmark_0039.csv,ABOD,0.5576,0.7815,0.5646,0.8158
abalone_benchmark_0039.csv,KNN,0.559,0.7881,0.5593,0.7895
abalone_benchmark_0039.csv,IForest,0.5113,0.5497,0.5066,0.5217
abalone_benchmark_0039.csv,HBOS,0.5378,0.6821,0.5278,0.6042
abalone_benchmark_0039.csv,LOF,0.5166,0.5762,0.5277,0.6087
abalone_benchmark_0039.csv,CBLOF,0.5603,0.7947,0.5621,0.7674
abalone_benchmark_0040.csv,ABOD,0.5576,0.7815,0.5829,0.881
abalone_benchmark_0040.csv,KNN,0.5629,0.8079,0.5829,0.881
abalone_benchmark_0040.csv,IForest,0.502,0.5033,0.5168,0.5854
abalone_benchmark_0040.csv,HBOS,0.5489,0.7647,0.554,0.7838
abalone_benchmark_0040.csv,LOF,0.5046,0.5166,0.5358,0.7333
abalone_benchmark_0040.csv,CBLOF,0.5603,0.7947,0.5668,0.7708
abalone_benchmark_0041.csv,ABOD,0.5529,0.7351,0.5538,0.7561
abalone_benchmark_0041.csv,KNN,0.5516,0.7285,0.5746,0.7843
abalone_benchmark_0041.csv,IForest,0.4944,0.4437,0.5085,0.54
abalone_benchmark_0041.csv,HBOS,0.5554,0.7551,0.5482,0.6939
abalone_benchmark_0041.csv,LOF,0.509,0.5166,0.5092,0.5588
abalone_benchmark_0041.csv,CBLOF,0.4825,0.3841,0.5031,0.5192
abalone_benchmark_0042.csv,ABOD,0.5522,0.7682,0.5693,0.8611
