benchmark,clf_name,train_roc,train_prn,test_roc,test_prn
wine_benchmark_0053.csv,KNN,0.5109,0.4209,0.508,0.3649
wine_benchmark_0053.csv,IForest,0.4995,0.3682,0.4918,0.2933
wine_benchmark_0053.csv,HBOS,0.4978,0.3603,0.5049,0.3538
wine_benchmark_0053.csv,LOF,0.5065,0.4007,0.5071,0.359
wine_benchmark_0053.csv,CBLOF,0.5094,0.4141,0.5029,0.3429
wine_benchmark_0054.csv,ABOD,0.5,0.0,0.5,0.0
wine_benchmark_0054.csv,KNN,0.5145,0.4291,0.4975,0.3288
wine_benchmark_0054.csv,IForest,0.5011,0.367,0.4955,0.32
wine_benchmark_0054.csv,HBOS,0.5055,0.3872,0.5017,0.3485
wine_benchmark_0054.csv,LOF,0.5179,0.4444,0.4996,0.3382
wine_benchmark_0054.csv,CBLOF,0.5018,0.3704,0.4865,0.28
wine_benchmark_0055.csv,ABOD,0.497,0.3704,0.5084,0.411
wine_benchmark_0055.csv,KNN,0.5091,0.4276,0.5069,0.4058
wine_benchmark_0055.csv,IForest,0.4984,0.3771,0.4762,0.25
wine_benchmark_0055.csv,HBOS,0.5063,0.4141,0.4987,0.3649
wine_benchmark_0055.csv,LOF,0.5155,0.4579,0.5142,0.4384
wine_benchmark_0055.csv,CBLOF,0.5077,0.4209,0.49,0.3243
wine_benchmark_0056.csv,ABOD,0.498,0.3468,0.4892,0.3494
wine_benchmark_0056.csv,KNN,0.5128,0.4141,0.51,0.4416
wine_benchmark_0056.csv,IForest,0.5194,0.4444,0.5004,0.3974
wine_benchmark_0056.csv,HBOS,0.5091,0.3973,0.5095,0.4375
wine_benchmark_0056.csv,LOF,0.5128,0.4141,0.5039,0.4125
wine_benchmark_0056.csv,CBLOF,0.5061,0.3838,0.5021,0.4054
wine_benchmark_0057.csv,ABOD,0.5,0.0,0.5,0.0
wine_benchmark_0057.csv,KNN,0.521,0.468,0.474,0.2289
wine_benchmark_0057.csv,IForest,0.5022,0.3805,0.4932,0.3049
wine_benchmark_0057.csv,HBOS,0.5087,0.4108,0.5043,0.3548
wine_benchmark_0057.csv,LOF,0.5224,0.4747,0.478,0.2405
wine_benchmark_0057.csv,CBLOF,0.4884,0.3165,0.4791,0.2529
wine_benchmark_0058.csv,ABOD,0.5,0.0,0.5,0.0
wine_benchmark_0058.csv,KNN,0.5105,0.404,0.5131,0.44
wine_benchmark_0058.csv,IForest,0.5002,0.3569,0.5007,0.382
wine_benchmark_0058.csv,HBOS,0.5053,0.3805,0.4964,0.3656
wine_benchmark_0058.csv,LOF,0.5119,0.4108,0.5092,0.4265
wine_benchmark_0058.csv,CBLOF,0.5068,0.3872,0.513,0.4337
wine_benchmark_0059.csv,ABOD,0.5,0.0,0.5,0.0
wine_benchmark_0059.csv,KNN,0.5049,0.3973,0.5213,0.4483
wine_benchmark_0059.csv,IForest,0.5056,0.4007,0.4927,0.337
wine_benchmark_0059.csv,HBOS,0.5164,0.4512,0.5001,0.3647
wine_benchmark_0059.csv,LOF,0.5063,0.404,0.5231,0.4545
wine_benchmark_0059.csv,CBLOF,0.5063,0.404,0.5065,0.3924
wine_benchmark_0060.csv,ABOD,0.509,0.4074,0.5128,0.4156
wine_benchmark_0060.csv,KNN,0.5119,0.4209,0.5245,0.4675
wine_benchmark_0060.csv,IForest,0.5068,0.3973,0.5432,0.5526
wine_benchmark_0060.csv,HBOS,0.5006,0.3682,0.525,0.4789
wine_benchmark_0060.csv,LOF,0.517,0.4444,0.5017,0.3659
wine_benchmark_0060.csv,CBLOF,0.5054,0.3906,0.527,0.4699
